genus;specie;m_IT;dry_weight
Andrena;accepta;2,83;25,93
Anthidiellum;notatum;2,39;16,53
Anthophora;urbana;3,33;39,02
Augochlora;pura;1,87;11,63
Calliopsis;andreniformis;1,68;5,32
Centris;atripes;4,1;51,1
Colletes;inaequalis;3,4;40,12
Diadasia;olivaceae;2,42;18,27
Dialictus;versatus;1,32;2,83
Dradasia;rinconis;2,96;27,69
Duforea;marginata;1,68;5,32
Exomalopsis;solani;1,77;8,59
Hesperapsis;carinata;2,74;14,5
Hylaeus;rugulosus;1,55;5,71
Megachile;texana;3,71;41,07
Melissodes;agilis;3,27;30,8
Nomia;melanderi;2,5;34,87
Perdita;coreopsidis;1,5;4,61
Protoxaea;gloriosa;5,03;95,98
Triepeolus;verbesinae;1,99;16,84
Xylocopa;micans;60,7;151,21
Xylocopa;virginica;5,74;188,57
